Command: ./simv_simple_fsm -cm line+cond+fsm+branch+tgl -cm_name simv_simple_fsm -cm_dir ./simv_simple_fsm.vdb +vpdfile+simv_simple_fsm.vpd -l simv_simple_fsm.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06_Full64; Runtime version L-2016.06_Full64;  Jun  6 20:34 2021
*Verdi3* Loading libsscore_vcs201606.so
*Verdi3* : FSDB_GATE is set.
*Verdi3* : FSDB_RTL is set.
*Verdi3* : Enable Parallel Dumping.
FSDB Dumper for VCS, Release Verdi3_L-2016.06-1, Linux x86_64/64bit, 07/10/2016
(C) 1996 - 2016 by Synopsys, Inc.
*Verdi3* : Create FSDB file 'simple_fsm.fsdb'
*Verdi3* : Begin traversing the scope (tb_simple_fsm), layer (0).
*Verdi3* : End of traversing.
@time 10260ns: pi_money=0 state=100 po_cola=0
@time 10280ns: pi_money=1 state=100 po_cola=0
@time 10300ns: pi_money=1 state=001 po_cola=1
@time 10320ns: pi_money=1 state=010 po_cola=0
@time 10340ns: pi_money=1 state=100 po_cola=0
@time 10360ns: pi_money=1 state=001 po_cola=1
@time 10380ns: pi_money=1 state=010 po_cola=0
@time 10400ns: pi_money=1 state=100 po_cola=0
@time 10420ns: pi_money=0 state=001 po_cola=1
@time 10440ns: pi_money=1 state=001 po_cola=0
@time 10460ns: pi_money=0 state=010 po_cola=0
@time 10520ns: pi_money=1 state=010 po_cola=0
@time 10540ns: pi_money=1 state=100 po_cola=0
@time 10560ns: pi_money=1 state=001 po_cola=1
@time 10580ns: pi_money=1 state=010 po_cola=0
@time 10600ns: pi_money=1 state=100 po_cola=0
@time 10620ns: pi_money=1 state=001 po_cola=1
@time 10640ns: pi_money=1 state=010 po_cola=0
@time 10660ns: pi_money=1 state=100 po_cola=0
@time 10680ns: pi_money=1 state=001 po_cola=1
@time 10700ns: pi_money=0 state=010 po_cola=0
@time 10760ns: pi_money=1 state=010 po_cola=0
@time 10780ns: pi_money=0 state=100 po_cola=0
@time 10840ns: pi_money=1 state=100 po_cola=0
@time 10860ns: pi_money=1 state=001 po_cola=1
@time 10880ns: pi_money=0 state=010 po_cola=0
@time 10940ns: pi_money=1 state=010 po_cola=0
@time 10960ns: pi_money=1 state=100 po_cola=0
